ticker,company_name,industry,market_cap,esg_score,volatility,leverage,profit_margin,roe,current_ratio,asset_turnover,rd_expense_pct,debt_ratio,num_employees,annual_return
RDGT,Ridgetech Inc,Pharmacies and Drug Retailers,3779.239094,10.33332181,0.4509359292,0.8870197355,7.068913774,13.02073234,1.951538319,1.300028779,6.986401206,0.416063945,13252,124427.865
LASE,Laser Photonics Corp,All Other Miscellaneous Electrical Equipment and Component Manufacturing,2200.908835,58.70406676,0.3093704831,0.5138794911,13.61050375,23.75640302,2.306564653,1.409443067,3.848320145,0.243088417,7036,173725.4558
SLDE,Slide Insurance Holdings Inc,Direct Property and Casualty Insurance Carriers,10819.65649,6.114555407,0.4934736349,1.264692083,7.251160172,7.506339559,1.267993535,0.991652355,7.233201677,0.6541880171,27810,127847.501
IMRN,Immuron Ltd,Biological Product (except Diagnostic) Manufacturing,2495.873669,34.35576062,0.3729515504,0.7441085855,11.39854059,12.85725215,2.109872572,1.16864259,1.187003743,0.3019514841,8136,150389.8744
IMDX,Insight Molecular Diagnostics Inc,Research and Development in Biotechnology (except Nanobiotechnology),1362.748048,75.56677049,0.154533016,0.4267904011,17.22202756,23.98907276,2.574100775,1.515908966,1.814844726,0.1957788166,3566,163853.9726
HWBK,Hawthorn Bancshares Inc,Commercial Banking,43079.45706,30.14046849,0.7896388019,1.248436393,5.73212835,13.30019189,1.212214392,1.007233288,6.874657723,0.7934236044,41933,132176.7018
ZYXI,Zynex Inc,Electromedical and Electrotherapeutic Apparatus Manufacturing,5659.503491,76.56749964,0.4023809149,0.896110289,16.67710749,22.00623704,1.994579538,1.193621566,6.644752431,0.425315322,18626,180911.4711
FFIN,First Financial Bankshares Inc,Commercial Banking,8047.017872,74.80123678,0.4545511306,0.8500720266,16.0569047,17.58033157,1.297691829,1.722505464,2.790753439,0.5382711477,23874,204897.0464
TARS,Tarsus Pharmaceuticals Inc,Pharmaceutical Preparation Manufacturing,1342.548808,25.33688613,0.2048758429,0.5194479697,9.052571322,12.23723388,1.86496428,1.314945777,4.975987386,0.2028309279,3596,126784.2829
GMGI,Golden Matrix Group Inc,Software Publishers,3861.317541,73.15339583,0.3687926666,0.6544695746,14.84152242,16.72003066,2.342942998,1.078172531,3.370247916,0.3327960567,13413,150625.2347
ZSPC,"zSpace, Inc.",Software Publishers,8477.154456,75.02988719,0.6024410358,1.113101661,14.26730421,17.11422618,1.7742266,1.515492843,0.5773801198,0.5274900935,24543,165237.8208
PSTV,Plus Therapeutics Inc,Research and Development in Biotechnology (except Nanobiotechnology),1864.653852,40.34793864,0.4214728642,0.5143593405,11.74689852,15.18415492,2.763706876,1.144403277,0.6957809493,0.2357624864,5534,140813.878
GLUE,Monte Rosa Therapeutics Inc,Research and Development in Biotechnology (except Nanobiotechnology),11647.66055,21.83162789,0.5470189881,1.095452936,7.740292207,8.500376884,2.001952422,1.107980951,0.9069227411,0.523150426,28912,97779.30284
SWKH,SWK Holdings Corp,"International, Secondary Market, and All Other Nondepository Credit Intermediation",3609.254707,52.60580988,0.434832095,0.6891556549,13.75291097,16.16977599,2.22671742,1.209274086,4.955541157,0.3603843996,12064,172551.1908
ROAD,Construction Partners Inc,"Highway, Street, and Bridge Construction",5229.079332,92.21836121,0.3548351918,0.8720674341,17.82638262,23.61526114,1.719400718,1.608092238,2.594208015,0.3813788891,17236,177641.1715
CTAS,Cintas Corp,Linen Supply,3604.632385,64.32205651,0.2027295916,0.8492718792,16.77217444,22.77171676,2.029878207,1.580916385,1.579612237,0.2954918165,12594,179079.9563
BBOT,BridgeBio Oncology Therapeutics Inc,Research and Development in Biotechnology (except Nanobiotechnology),68511.49544,18.11932727,0.5696863341,1.26256592,9.219496354,8.791454623,1.344712638,0.8081016628,7.558483313,0.7795804226,43891,119469.7676
ZM,Zoom Communications Inc,Software Publishers,7301.436114,68.59293555,0.3902901853,0.8708355675,15.734181,22.07016236,1.667061882,1.883362393,1.409890003,0.4277546636,22284,197414.9009
FCBC,First Community Bankshares Inc,Commercial Banking,2085.512465,43.2930997,0.4018663185,0.7658388651,11.17403234,14.26303721,2.466399439,1.392857259,5.554862873,0.193973749,6753,147358.9909
CLLS,Cellectis SA,Research and Development in Biotechnology (except Nanobiotechnology),19911.9812,59.56135094,0.577141623,1.245266619,15.21281596,22.41616372,1.928468571,1.642797894,7.206201371,0.6924051575,36303,163173.0679
FEAM,5E Advanced Materials Inc,Other Nonmetallic Mineral Mining and Quarrying,1714.729507,73.67233947,0.5126048366,0.6602998784,16.63967264,24.30909973,2.256384317,1.920368619,1.728722504,0.3027473676,4893,186388.3488
SEDG,Solaredge Technologies Inc,Semiconductor and Related Device Manufacturing,9534.378352,51.9797878,0.5895902271,1.088374014,13.15484445,16.1521898,1.603960546,0.9821951469,2.110472617,0.5396827463,26419,145333.9651
KEQU,Kewaunee Scientific Corp,Institutional Furniture Manufacturing,706.5675832,81.58441348,0.2407997037,0.4634558804,18.80196014,26.40479525,2.391740775,1.574548007,4.803601502,0.1728985293,1768,194081.0171
HSTM,HealthStream Inc,Software Publishers,1507.487666,72.49340235,0.15,0.3697932167,18.01381458,21.10570938,1.653783827,1.650196422,4.313365148,0.2270105441,4029,175677.0682
DYOR,Insight Digital Partners II,Other Financial Vehicles,9398.040494,61.89226066,0.6194831227,1.156005535,12.40522232,20.85755298,2.222681342,1.68998496,4.407705627,0.5618511986,25707,158717.0937
CLPS,CLPS Inc,Software Publishers,18001.00559,15.92848877,0.6865539667,1.051551492,5.813697154,6.579027982,1.269077881,0.8848329084,4.660085705,0.7012308888,35443,123273.0814
BULL,Webull Corp,Software Publishers,9114.892952,83.75896198,0.3126946538,0.9062682737,16.39345321,22.73039268,1.565504354,1.259980699,7.62427187,0.4986316258,25240,173794.7666
PN,Skycorp Solar Group Ltd,All Other Miscellaneous Electrical Equipment and Component Manufacturing,6459.098698,93.65465295,0.6144499125,1.111320307,16.79456105,21.59064582,1.902125496,1.367065386,0.9037853148,0.5270518211,19883,195356.7127
FIVN,Five9 Inc,Software Publishers,5170.365032,14.55954726,0.4832336914,0.8994116801,7.0898093,7.457087618,1.97319513,0.9561727542,6.203363905,0.4900439487,16884,127737.7873
EXPE,Expedia Group Inc,Travel Agencies,1258.652039,49.33587181,0.2910685498,0.3556303508,13.30055545,20.66341383,2.29817542,2.018465149,2.243798168,0.15,3316,136188.5858
SNES,Senestech Inc,Pesticide and Other Agricultural Chemical Manufacturing,3128.190356,26.62998546,0.4968869095,0.6941521428,8.962370376,10.91244902,1.841981016,1.289204984,3.302582526,0.2708171682,10320,145768.2425
OLB,OLB Group Inc,Custom Computer Programming Services,4269.519114,75.69780744,0.518285047,0.6663381104,15.55348865,15.56396989,2.398844727,1.593659354,1.169683422,0.3676330594,14698,191410.9243
ABSI,Absci Corp,Research and Development in Biotechnology (except Nanobiotechnology),26385.49422,72.44133396,0.6276371726,1.16528966,17.55588673,14.42102399,1.124205454,1.288996284,3.842200769,0.7250081548,38857,150841.6601
LPBB,Launch Two Acquisition Corp,Other Financial Vehicles,11207.79674,14.94762694,0.557589711,1.158255412,7.452978645,8.318440291,1.310376092,0.9824202107,6.531644392,0.6205360087,29009,90621.12778
ACET,Adicet Bio Inc,Research and Development in Biotechnology (except Nanobiotechnology),894.5983253,87.82569985,0.3366394291,0.4067076702,18.68832943,28.55372057,2.287905168,1.720988935,1.240552539,0.15,1995,200888.512
KMTS,Kestra Medical Technologies Ltd,Electromedical and Electrotherapeutic Apparatus Manufacturing,10948.12808,18.91633333,0.4999835726,1.095600637,9.568802207,17.25577805,1.304755447,1.553153313,2.567026987,0.679978632,28479,144558.8169
IHRT,iHeartMedia Inc,Radio Broadcasting Stations,4674.718701,79.92864354,0.4164729507,0.9296445409,16.80443362,20.00952514,2.334028153,1.485839916,3.297962815,0.4439661913,16253,195432.2107
XEL,Xcel Energy Inc,Hydroelectric Power Generation,3293.534572,46.2410556,0.2748833879,0.7417940705,15.02647945,18.9084106,1.750259361,1.583967005,1.279244023,0.3302302066,11591,140026.757
LPSN,LivePerson Inc,Custom Computer Programming Services,15460.35914,33.49895706,0.5238278174,1.235419883,9.353121054,11.82900604,2.109991838,1.097587572,6.217376075,0.7142635899,33270,177709.5944
PCRX,Pacira Biosciences Inc,Pharmaceutical Preparation Manufacturing,25571.21113,16.665687,0.5647622205,1.375143624,10.49677536,10.59583399,1.84711519,1.085615385,6.402102712,0.8028512167,38047,117954.7832
AIRT,Air T Inc,Couriers and Express Delivery Services,22687.26762,17.59381136,0.4966038506,1.327442437,6.176968931,6.565867102,2.00619419,0.8107477319,6.769212483,0.7202687752,37666,132916.5345
OPK,OPKO Health Inc,Medical Laboratories,2710.699443,66.52716492,0.3413439972,0.7020441827,15.75530209,23.84981107,2.759725362,1.737415493,4.879221536,0.2553386938,9386,176667.2089
NXT,Nextpower Inc,Semiconductor and Related Device Manufacturing,5120.299203,55.49260841,0.3765288495,0.7985014827,12.36009301,18.34377522,2.022943734,1.617204073,4.304291156,0.4178538691,17025,183179.0045
APWC,Asia Pacific Wire & Cable Corporation Ltd,"Copper Rolling, Drawing, Extruding, and Alloying",11042.85756,13.08645674,0.5655502168,1.211449083,8.642317687,13.1900478,1.439323434,0.9062564842,2.469143341,0.6306534894,28822,127335.5855
CHR,Cheer Holding Inc,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",23924.95075,12.15708818,0.4160718261,1.391431684,6.106214316,5.322017344,1.561168307,0.4675163819,5.413684755,0.7566077749,38280,132510.42
HURA,TuHURA Biosciences Inc,Research and Development in Biotechnology (except Nanobiotechnology),4175.602424,8.158746903,0.3437256724,0.7531141846,6.660118821,10.29425223,1.957853554,1.099885527,3.834226142,0.3101223035,14592,115861.7735
STRT,Strattec Security Corp,Motor Vehicle Electrical and Electronic Equipment Manufacturing,5938.621017,74.63296739,0.4230629287,0.8336542138,15.21913211,13.35142363,1.783463983,1.455686041,7.780823046,0.4198155293,19642,164387.9308
RVSB,Riverview Bancorp Inc,Savings Institutions and Other Depository Credit Intermediation,1967.307305,71.47632644,0.2870115388,0.4629908371,17.12728673,25.08115215,2.26187732,2.092606531,7.761346227,0.2361489256,6152,155137.2397
SSKN,Strata Skin Sciences Inc,Electromedical and Electrotherapeutic Apparatus Manufacturing,1766.181334,6.784668095,0.2950698871,0.4906775561,5.034073323,8.81661269,2.136946759,0.695948591,7.289038489,0.2246183142,4729,113003.6033
BACC,Blue Acquisition Corp,"Trusts, Estates, and Agency Accounts",19674.01468,56.46673748,0.4397952722,1.429244966,15.99513289,17.15846211,1.318369399,1.277348338,3.200668535,0.7966397465,35858,142132.1465
MOB,Mobilicom Ltd,Software Publishers,37779.08946,9.382939369,0.6097287927,1.504089685,4.913445245,12.74541097,1.528584685,0.8414274974,3.259793415,0.7481621645,41649,130482.3728
ARTW,Art's Way Manufacturing Co Inc,Farm Machinery and Equipment Manufacturing,6806.347145,90.47083129,0.5147867718,0.9016765583,16.55218282,16.4741254,2.064630723,1.213583945,6.89504873,0.5000523471,20912,197328.691
MGYR,Magyar Bancorp Inc,Savings Institutions and Other Depository Credit Intermediation,24742.1237,90.8046245,0.6567133421,1.502557583,20.04802179,27.6485447,1.809262091,2.106996854,5.968511988,0.8147192254,38266,206834.4842
NNBR,NN Inc,Fluid Power Valve and Hose Fitting Manufacturing,11452.76238,70.12506599,0.6517213464,1.210740276,14.63129444,21.22306863,1.184286089,1.558575075,5.782707274,0.6956972809,28666,158450.6013
SNPS,Synopsys Inc,Custom Computer Programming Services,3421.653867,92.69270322,0.3772542581,0.6823507683,18.89304951,20.9526481,2.03199656,1.472857589,2.597082583,0.3142025951,12219,210794.7915
MANH,Manhattan Associates Inc,Custom Computer Programming Services,11449.45869,81.33385001,0.5597919309,1.287311113,16.71671577,21.94650685,1.708979888,1.706342494,6.750114587,0.6238476257,29307,197911.5182
SLRX,Salarius Pharmaceuticals Inc,Research and Development in Biotechnology (except Nanobiotechnology),46988.90952,83.02531902,0.6384296339,1.544890938,15.48488545,15.67137902,1.130474649,1.124558533,4.845654292,0.8456411202,42332,172019.7817
CHAC,Crane Harbor Acquisition Corp,Other Financial Vehicles,7108.394997,57.40107721,0.5183105462,0.8245364954,13.49467108,9.654482353,1.865155142,1.301319791,3.851491807,0.4991109484,21867,195834.332
ISSC,Innovative Solutions and Support Inc,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufactur",48513.40315,31.29986062,0.4530231723,1.374990905,11.59235294,12.70719484,1.558607957,1.136816737,6.990665931,0.8214922719,42545,146661.1763
GTX,Garrett Motion Inc,Motor Vehicle Gasoline Engine and Engine Parts Manufacturing,320.0025231,22.5621124,0.1959835197,0.581646984,9.889022364,12.01695201,2.450830484,1.020488752,3.456573228,0.1706832331,856,119060.9147
CCG,Cheche Group Inc,Software Publishers,19896.63718,33.39280218,0.6682117607,1.142753189,10.35660947,16.36069991,1.7802951,1.435404842,5.404443589,0.6190435901,36273,132024.9693
ALKT,Alkami Technology Inc,Custom Computer Programming Services,8237.724957,63.22104758,0.2317356868,0.9184537952,16.15155958,21.58409575,1.569044931,1.767062019,3.994288865,0.5555585381,24345,149088.6279
IOTR,iOThree Ltd,Satellite Telecommunications,5183.388049,18.09299705,0.3978163689,0.7536072411,6.12467168,9.630242394,2.59520702,1.300707168,4.945533546,0.4236683237,17371,142645.7146
SHMD,SCHMID Group NV,Bare Printed Circuit Board Manufacturing,8284.453269,26.60538343,0.5774565802,1.051036605,8.502626021,9.159886355,2.124188229,0.9160005365,0.8040985374,0.5204581684,24943,151567.3505
UXIN,Uxin Ltd,Used Car Dealers,683.304309,47.33802542,0.3137484558,0.6686645953,12.69441122,15.64325956,2.37043707,1.499374282,3.958363724,0.2461490448,1135,162222.2898
XAIR,Beyond Air Inc,Surgical and Medical Instrument Manufacturing,5701.11324,24.07195975,0.3665574369,0.8229611622,8.415171723,9.308426238,2.304508871,0.9856636343,4.673684806,0.414117088,18267,139371.1261
MIST,Milestone Pharmaceuticals Inc,Research and Development in Biotechnology (except Nanobiotechnology),11390.76355,59.2757233,0.5066514499,1.328659227,13.5211235,14.55042618,1.868480474,1.105245305,4.195395011,0.5874185645,28748,189094.4248
RVMD,Revolution Medicines Inc,Research and Development in Biotechnology (except Nanobiotechnology),43717.15466,92.39442682,0.599687982,1.587415236,17.05819842,20.68873983,1.841890266,1.379074686,6.855577794,0.87,41715,200685.91
HMR,Heidmar Maritime Holdings Corp,Deep Sea Freight Transportation,3984.227592,75.0608472,0.3681784784,0.6709324803,13.137115,17.98807515,2.120837115,1.180007069,2.833429811,0.3301870582,13468,182821.1253
JBHT,J B Hunt Transport Services Inc,"General Freight Trucking, Long-Distance, Truckload",2812.5046,66.9762348,0.2681137811,0.5277850496,16.27323486,19.80996627,2.173039715,1.342159514,7.130573983,0.2729037696,9306,165724.2947
AISP,Airship AI Holdings Inc,Computer Facilities Management Services,4063.965716,58.68942612,0.4918245004,0.6453827446,14.16824628,18.03138753,2.256271604,1.624710701,3.525964774,0.3619141167,13881,163851.5352
BFST,Business First Bancshares Inc,Commercial Banking,22259.08562,49.30684302,0.7288242698,1.393035465,13.74902402,20.58357326,2.045312598,1.670520583,5.708950492,0.7729955553,37096,171704.1022
NICE,Nice Ltd,Software Publishers,11009.61584,19.4698221,0.4884784778,1.056574826,7.264619402,9.215280027,2.22925256,0.7125216701,1.15042046,0.6036350201,28462,76324.08721
REVB,Revelation Biosciences Inc,Research and Development in Biotechnology (except Nanobiotechnology),3929.670114,89.57633509,0.2158274786,0.8308036374,17.36728344,18.83884023,2.30711087,1.092663827,2.001155627,0.3089528413,13539,187783.3148
BCRX,BioCryst Pharmaceuticals Inc,Biological Product (except Diagnostic) Manufacturing,13738.31502,25.6050642,0.4608037926,1.286195509,8.85058158,14.31105846,1.903332094,0.9930942919,6.208745084,0.6263762193,31559,139061.2381
CURX,Curanex Pharmaceuticals Inc,Research and Development in Biotechnology (except Nanobiotechnology),8337.478109,10.03957888,0.434781471,1.022847666,7.787236305,12.14223251,2.101179915,0.9517643839,0.5924651415,0.506360674,24514,119705.5941
ABCL,Abcellera Biologics Inc,Research and Development in Biotechnology (except Nanobiotechnology),23727.66614,75.25150274,0.6237751622,1.201764206,15.94054709,22.114635,1.899955215,1.545078608,7.763958044,0.746442549,37779,177228.7128
CLOV,Clover Health Investments Corp,Software Publishers,3195.693154,18.3859379,0.2659837996,0.6331334784,8.960568461,14.63019813,2.489335289,1.466082611,1.929716758,0.3335702438,10842,134289.1783
KNDI,Kandi Technologies Group Inc,Automobile and Light Duty Motor Vehicle Manufacturing,5008.182879,37.81770395,0.3365410043,0.9659394611,9.163193585,14.36575688,1.916727408,1.108744472,7.259779897,0.4269144724,16853,134386.6337
NXST,Nexstar Media Group Inc,Television Broadcasting Stations,4635.471606,3.800207901,0.4124218155,0.6277559851,5.327860485,8.47961866,2.508168303,1.260080925,4.369587712,0.3227084034,15248,96971.96262
UFG,Uni-Fuels Holdings Ltd,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),1281.523736,14.56972631,0.4136362094,0.671450152,7.080287731,17.67070327,2.315509751,1.047495185,4.734315252,0.2394906524,2837,133846.3608
LNAI,Lunai Bioworks Inc,Research and Development in Biotechnology (except Nanobiotechnology),10586.84358,18.14715945,0.4356871061,1.140999924,9.561658833,9.61908436,1.980447861,0.9112277139,1.13098841,0.5956930212,27810,147583.7134
BRLT,Brilliant Earth Group Inc,Jewelry Retailers,10150.61255,6.386602647,0.3827303053,1.153327821,6.269431494,7.764065957,2.156059971,1.045313032,3.239140656,0.6321040215,27293,106310.6362
PLAY,Dave & Buster's Entertainment Inc,Theater Companies and Dinner Theaters,7466.332199,66.00903871,0.7892137801,0.9121225985,17.52047208,25.92656959,2.098193971,1.96576953,1.671641456,0.5216039199,23130,175632.0277
HOFT,Hooker Furnishings Corp,Upholstered Household Furniture Manufacturing,5599.980784,83.86377178,0.5182105927,0.9102161226,15.55803857,21.09740516,2.199086263,1.487727467,4.444486208,0.479760338,18396,200798.974
KGEI,Kolibri Global Energy Inc,Crude Petroleum Extraction,1357.741742,37.95822523,0.283043567,0.548196625,10.88861214,17.34010367,2.119788976,1.56735587,4.630491093,0.2194878864,3881,145152.121
STIM,Neuronetics Inc,Electromedical and Electrotherapeutic Apparatus Manufacturing,4479.418949,87.5830712,0.5079985649,0.9665402018,18.40655774,24.59713857,2.418864414,1.892296217,5.822502122,0.4421908746,15347,202171.7694
LDWY,Lendway Inc,"Flower, Nursery Stock, and Florists' Supplies Merchant Wholesalers",4918.532957,22.12131088,0.4011459403,0.7522012498,9.248336429,17.22017337,2.196086165,1.224585737,7.087086184,0.4271832066,16592,137541.6814
FEBO,Fenbo Holdings Ltd,Small Electrical Appliance Manufacturing,2833.563207,33.21365193,0.4329685585,0.6124769245,8.762007885,9.491876895,2.186812828,1.037579538,4.011348622,0.2925057392,10068,135078.7605
ILPT,Industrial Logistics Properties Trust,Lessors of Nonresidential Buildings (except Miniwarehouses),6114.878333,15.92296231,0.490380204,1.027804966,9.915113856,17.92551629,2.171664194,1.536998472,2.250202776,0.5488817685,19218,135827.7297
EVGO,EVgo Inc,Other Gasoline Stations,12050.77237,62.43536035,0.5347346069,1.243090087,14.38474996,22.77468944,2.494891348,1.516627518,3.001787461,0.6512148342,29706,154708.6832
TCBK,Trico Bancshares,Commercial Banking,71356.66897,42.5670895,0.6236418132,1.414153566,9.754462155,10.07448724,1.105322649,1.342589452,6.853173597,0.87,44736,170923.9047
AVIR,Atea Pharmaceuticals Inc,Research and Development in Biotechnology (except Nanobiotechnology),9150.066087,61.71505134,0.3033900288,0.8127275073,14.23322021,20.97186049,1.663372624,1.381520635,1.593976138,0.4962563244,25402,168559.3143
APLM,Apollomics Inc,Research and Development in Biotechnology (except Nanobiotechnology),10108.01017,76.40581563,0.6554314421,1.052262372,15.99113006,21.06023628,2.677698907,1.58183039,5.204420588,0.5232439044,27461,178553.5785
LFCR,Lifecore Biomedical Inc,Pharmaceutical Preparation Manufacturing,6786.48156,55.02459859,0.351182744,0.7842134966,17.4285425,21.09450494,2.039201726,1.304769784,0.5981441288,0.490672272,20902,149093.7841
CLSD,Clearside Biomedical Inc,Research and Development in Biotechnology (except Nanobiotechnology),742.1100497,63.13540514,0.1503430318,0.5875341397,16.04522617,15.58841383,2.350031969,1.300092731,2.342519963,0.1726907788,1546,172331.2003
RGEN,Repligen Corp,Biological Product (except Diagnostic) Manufacturing,7188.273918,93.58978113,0.4138076493,0.8896883031,19.1129592,21.90311003,1.901159547,1.381740858,4.935563731,0.4701872752,22055,201349.4381
TLSA,Tiziana Life Sciences Ltd,Research and Development in Biotechnology (except Nanobiotechnology),7976.853045,30.60736665,0.3665928692,0.8334670433,9.42322997,15.43221238,2.231954679,1.212784791,3.9230903,0.525480101,23060,125784.3916
LIQT,LiqTech International Inc,Commercial and Service Industry Machinery Manufacturing,142616.3648,36.55722992,0.6298287209,1.456957978,11.91016978,18.73372755,2.239374193,1.119366865,4.201621177,0.87,44897,139930.4976
ARCT,Arcturus Therapeutics Holdings Inc,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and",5891.051877,72.05263281,0.5071347197,0.9529873679,17.30618816,22.13529435,1.728383434,1.766727398,5.454215378,0.4767166697,18907,157261.9997
FORTY,Formula Systems 1985 Ltd,Custom Computer Programming Services,10656.01517,61.51924619,0.5703703782,0.9592501557,9.860562049,16.28362989,1.82092077,1.385437504,2.259395183,0.5416801763,28038,160748.8231
UPLD,Upland Software Inc,Software Publishers,7117.906155,18.67475755,0.525213157,0.9332232293,8.765703365,15.35462427,1.809805658,1.485213324,2.606037052,0.4874801696,22089,132993.5959
ANSC,Agriculture & Natural Solutions Acquisition Corp,Other Financial Vehicles,1825.500291,38.23858369,0.2688901834,0.5723680033,10.77773737,15.39720472,2.48117136,1.200299203,5.633436556,0.1989067778,5650,162710.1436
TIL,Instil Bio Inc,Research and Development in Biotechnology (except Nanobiotechnology),29243.43499,47.3159633,0.5857047339,1.32201762,10.13067876,11.98981364,1.952928709,1.326260156,4.537185557,0.7614911022,39893,157219.1134
OPXS,Optex Systems Holdings Inc,Commercial and Service Industry Machinery Manufacturing,18294.2603,42.51959396,0.5863020141,1.142836559,12.6982603,18.5610747,2.157045974,1.435909664,0.6094011819,0.6910282181,35307,124815.6582
BOXL,Boxlight Corp,Other Electronic Component Manufacturing,19173.05797,18.64920602,0.3724559699,1.214805737,11.16666292,16.86094963,1.894252175,1.365680973,5.527458465,0.6964694245,36148,130472.7606
NXPI,NXP Semiconductors NV,Semiconductor and Related Device Manufacturing,2491.793621,92.51857909,0.3692447382,0.6780428183,19.71298078,27.67741011,2.986552794,2.306681171,5.150690306,0.2243725365,8288,212016.995
ALDX,Aldeyra Therapeutics Inc,Research and Development in Biotechnology (except Nanobiotechnology),39949.68948,76.46955741,0.4558969115,1.573386955,18.12107627,26.34150134,1.363669688,1.720139874,1.089556803,0.8032536806,41661,179844.1214
UFCS,United Fire Group Inc,Direct Property and Casualty Insurance Carriers,1379.948875,48.65422738,0.4944250905,0.2691786745,15.00431274,15.91868158,2.032700801,1.541425885,6.106396211,0.1807808612,3758,167801.1198
AZN,AstraZeneca PLC,Pharmaceutical Preparation Manufacturing,15006.69206,68.3260418,0.4343073699,1.133379426,14.00351304,17.27442792,2.28138198,1.459658384,4.415760942,0.5495177568,32964,179325.6622
FCEL,Fuelcell Energy Inc,Semiconductor and Related Device Manufacturing,102802.994,89.83098454,0.6165124823,1.530014772,15.68829051,15.13008458,1.492849696,1.142123251,2.03560463,0.87,44813,227909.5702
QNTM,Quantum Biopharma Ltd,Research and Development in Biotechnology (except Nanobiotechnology),2260.586146,14.48124009,0.2744156775,0.74655743,8.157485109,14.02997025,1.723890573,0.9383603342,4.695172761,0.3027727748,7570,144536.2382
INBK,First Internet Bancorp,Commercial Banking,3761.096175,25.78693202,0.3042907402,0.6468144041,8.496622498,11.55901265,2.003690524,0.8713336226,4.965938856,0.3345754868,12693,110619.7812
BWMN,Bowman Consulting Group Ltd,Engineering Services,8363.268876,54.72742348,0.6936538665,0.8219071777,11.14785334,16.66986622,1.937710773,1.559628271,7.400890469,0.5324890191,24083,173979.3091
RAIN,Rain Enhancement Technologies Holdco Inc,Other Measuring and Controlling Device Manufacturing,4055.593103,80.10202676,0.454177027,0.7388690533,16.89804911,17.85062269,1.921789389,1.73941104,6.066083192,0.3202801163,14243,185356.0403
